age,interest,pid,sex,race
84,1,Repubican,Male,Non-Whte
36,3,Repubican,Female,White
43,1,Repubican,Female,White
52,1,Independent,Female,White
52,1,Repubican,Female,White
74,1,Democrat,Male,Non-Whte
43,3,Independent,Female,Non-Whte
43,1,Democrat,Male,Non-Whte
77,1,Democrat,Female,Non-Whte
54,1,Repubican,Male,White
47,1,Democrat,Male,White
70,2,Repubican,Female,White
70,1,Independent,Female,White
61,1,Independent,Male,White
53,1,Democrat,Male,White
42,1,Independent,Female,White
42,4,Independent,Male,White
40,1,Repubican,Male,Non-Whte
85,1,Repubican,Male,White
42,3,Repubican,Female,White
49,1,Independent,Male,White
38,1,Repubican,Female,White
43,2,Democrat,Male,White
26,3,Independent,Male,White
38,1,Independent,Female,White
69,1,Independent,Female,White
32,4,Independent,Male,White
36,4,Independent,Female,Non-Whte
43,2,Repubican,Male,White
54,1,Repubican,Male,White
24,1,Democrat,Male,White
57,1,Democrat,Male,Non-Whte
40,3,Independent,Female,White
53,3,Independent,Male,Non-Whte
84,3,Democrat,Male,White
47,4,Independent,Female,White
64,1,Democrat,Female,White
55,1,Independent,Male,White
130,1,Independent,Female,Non-Whte
